"","t_name","year","bird_id","band","sex","max_dist","total_dist","start_date","end_date","duration","bathyAvg","bathyMax","bathyVar","A","max_lat","max_long","max_gmt","Tout","Tback","Yno.trips","Tno.trips","no.years","X","meandir","bird.id","no.previous.attempts","earliest.attempt","attempt.status","year_banded","status_banded","age_chicks","home_lat","home_long","max_bearing","hemisphere"
"23","ID05_2019 127","2019","ID05_2019","13214188","F",282446.7,959384.087465539,2019-09-29 23:28:01,2019-10-05 02:06:34,5.11010416666667,-38.6694444444444,-84,544.591554628342,0.294404195035334,-40.16387,147.9695,2019-10-03 03:44:30,3.17811342592593,1.93199074074074,1,1,1,7,150.595325756845,38309,1,2016,NA,2006,"chick",13,-40.3780953,144.6557384,86.2483773967229,"east"
"24","ID06_2013 9","2013","ID06_2013","28010812","F",232688.5206,1898751.06540214,2013-09-27 22:10:52,2013-10-05 05:25:30,7.3018287037037,-45.6756756756757,-85,415.101121161241,0.122548197517782,-38.290127,144.528748,2013-10-02 20:41:35,4.93799768518519,2.36383101851852,1,1,1,2,107.358228042665,32343,17,1994,"S",1988,"chick",25,-40.3780953,144.6557384,-2.7445684981024,"west"
"25","ID06_2015 82","2015","ID06_2015","28013036","U",122284.6,941855.991025442,2015-09-25 10:05:47,2015-09-29 07:33:53,3.89451388888889,-76.8954635108481,-214,1144.98312167208,0.12983364884356,-41.4752,144.5825,2015-09-28 16:39:03,3.27310185185185,0.621412037037037,1,1,1,3,162.528437874844,33960,6,2001,"F",1995,"chick",20,-40.3780953,144.6557384,-177.125449542729,"west"
"26","ID06_2016 303","2016","ID06_2016","13194870","U",123171.2,1430359.66154034,2016-10-08 23:59:50,2016-10-11 21:52:03,2.91126157407407,-85.7039800995025,-523,922.134098832521,0.086112048117575,-39.99521,143.2968,2016-10-10 21:56:44,1.91451388888889,0.996747685185185,1,1,1,4,118.056362097962,13857,5,2009,"F",1999,"chick",17,-40.3780953,144.6557384,-70.2676554070116,"west"
"27","ID06_2018 147","latewinter2018","ID06_2018","13250178","U",99098.07,260846.951170661,2018-08-24 09:26:54,2018-08-26 01:08:40,1.65400462962963,-27.5169491525424,-59,59.8928726640591,0.379908868228115,-39.77978,143.7942,2018-08-25 13:01:29,1.1490162037037,0.504988425925926,8,8,1,NA,NA,47109,0,2018,"S",2018,"nonbreeder",NA,-40.3780953,144.6557384,-48.1627568151978,"west"
"28","ID06_2018 149","latewinter2018","ID06_2018","13250178","U",130681.4,489307.545488516,2018-09-02 20:45:19,2018-09-04 06:56:13,1.42423611111111,-61.5643564356436,-101,1056.12831683168,0.267074156539994,-39.79006,143.3277,2018-09-03 02:10:17,0.225671296296296,1.19856481481481,8,8,1,NA,NA,47109,0,2018,"S",2018,"nonbreeder",NA,-40.3780953,144.6557384,-60.4673499930044,"west"
"29","ID06_2018 150","latewinter2018","ID06_2018","13250178","U",138952.3,828323.374673693,2018-09-06 22:10:04,2018-09-09 23:02:50,3.03664351851852,-61.1728971962617,-104,989.270435698302,0.167751272327354,-39.69047,143.2951,2018-09-07 22:28:08,1.0125462962963,2.02409722222222,8,8,1,NA,NA,47109,0,2018,"S",2018,"nonbreeder",NA,-40.3780953,144.6557384,-57.1162182920701,"west"
"30","ID06_2018 151","latewinter2018","ID06_2018","13250178","U",153620.9,1160207.43098331,2018-09-12 05:20:34,2018-09-15 19:59:29,3.6103587962963,-79.5614754098361,-198,1452.95505295824,0.132408133147192,-39.63656,143.1362,2018-09-13 14:46:09,1.3927662037037,2.21759259259259,8,8,1,NA,NA,47109,0,2018,"S",2018,"nonbreeder",NA,-40.3780953,144.6557384,-58.0910240593233,"west"
"31","ID06_2018 152","latewinter2018","ID06_2018","13250178","U",173461.2,822048.299848208,2018-09-20 02:48:05,2018-09-23 17:00:01,3.59162037037037,-86.5238095238095,-443,1911.96357427433,0.211010958884082,-39.35831,143.1206,2018-09-22 03:09:34,2.01491898148148,1.57670138888889,8,8,1,NA,NA,47109,0,2018,"S",2018,"nonbreeder",NA,-40.3780953,144.6557384,-49.7299931306015,"west"
"32","ID06_2018 153","2018","ID06_2018","13250178","U",182383.1,584078.448156588,2018-09-25 23:52:07,2018-09-28 06:32:45,2.27821759259259,-91.4113924050633,-401,2914.06534709345,0.312257883466887,-39.41911,142.9241,2018-09-26 21:47:21,0.913356481481482,1.36486111111111,8,8,1,6,152.818593163907,47109,0,2018,"S",2018,"nonbreeder",NA,-40.3780953,144.6557384,-54.8410982216398,"west"
"33","ID06_2018 154","2018","ID06_2018","13250178","U",193383.8,813767.729059897,2018-10-01 22:01:44,2018-10-04 08:04:31,2.41859953703704,-97.3139534883721,-456,3644.36869305046,0.237640045303107,-39.35081,142.8305,2018-10-03 08:27:06,1.43428240740741,0.98431712962963,8,8,1,6,152.818593163907,47109,0,2018,"S",2018,"nonbreeder",NA,-40.3780953,144.6557384,-54.4448190689317,"west"
"34","ID06_2019 128","2019","ID06_2019","28013175","M",117654.5,744154.578884895,2019-09-29 22:39:32,2019-10-02 18:42:55,2.83568287037037,-49.8560606060606,-469,3626.93872266974,0.158104919781994,-41.4228,144.4438,2019-09-30 12:25:20,0.573472222222222,2.26221064814815,1,3,3,7,150.595325756845,34099,9,2005,NA,1995,"chick",24,-40.3780953,144.6557384,-171.318475566639,"west"
